week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,26.0,12.5,36.9,14.0,11.0,105.2,100.4
2,3.2,7.4,10.8,11.7,12.0,78.5,45.1
3,13.4,8.8,30.1,0.0,9.0,108.2,61.3
4,19.8,2.8,11.8,10.7,0.0,86.0,45.1
5,17.1,30.5,23.6,9.2,0.0,74.0,80.4
6,6.6,32.2,22.1,9.2,9.0,106.8,79.1
7,22.2,34.2,35.6,16.9,0.0,131.7,108.9
8,0.0,6.6,31.0,4.6,5.0,129.2,47.2
9,6.4,17.0,18.2,5.5,9.0,88.3,56.1
10,6.4,13.5,25.0,10.2,5.0,86.0,60.1
11,15.0,32.7,15.4,0.0,5.0,49.0,68.1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,12.0,12.7,9.2,22.3,2.0,84.4,58.2
