week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.9,8.9,22.6,12.0,14.0,85.3,66.4
2,9.8,13.7,30.6,10.4,17.0,115.1,81.5
3,29.0,12.8,44.6,11.2,3.0,94.5,100.7
4,10.4,16.5,24.4,19.3,19.0,119.8,89.7
5,22.2,34.2,31.2,18.9,17.0,122.8,123.5
6,19.2,25.1,17.0,10.3,3.0,65.7,74.6
7,17.6,10.1,50.6,5.5,7.5,114.0,91.4
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.2,2.9,11.0,16.7,0.0,133.3,39.8
10,23.1,31.9,31.3,33.4,2.0,137.9,121.7
11,4.3,27.4,33.0,20.9,14.0,79.5,99.5
12,6.6,10.8,25.9,6.1,1.0,121.6,50.4
13,22.5,31.7,31.8,11.3,7.0,107.2,104.3
14,19.0,11.5,47.6,11.8,4.0,146.2,94.0
15,25.5,19.0,73.9,6.9,10.0,143.4,135.3
