week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,29.5,12.8,27.8,14.9,0.0,49.2,85.0
2,26.3,27.2,25.4,8.7,9.0,92.7,96.6
3,23.0,23.9,26.5,21.4,7.0,70.2,101.9
4,0.0,20.8,35.7,14.8,11.0,77.4,82.3
5,12.0,32.4,24.4,0.0,10.0,111.5,78.8
6,18.8,22.8,36.4,11.8,17.0,92.2,106.8
7,0.0,29.1,14.9,7.6,7.0,61.3,58.6
8,7.1,15.2,5.5,14.9,0.0,109.9,42.7
9,25.6,19.4,26.0,25.6,4.0,71.1,100.5
10,19.3,15.3,19.0,12.4,1.0,99.2,67.0
11,15.4,18.7,23.0,8.2,0.0,82.0,65.3
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
