week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,24.3,16.1,33.6,7.8,6.0,83.6,87.8
2,5.3,34.8,9.9,8.7,0.0,45.5,58.7
3,9.6,7.8,16.2,18.8,5.0,112.1,57.4
4,12.8,33.6,30.1,13.7,5.0,115.9,95.3
5,16.1,20.8,12.7,34.3,5.0,100.0,88.9
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24.0,8.9,64.7,6.2,3.0,98.9,106.9
8,25.3,22.7,51.9,20.6,14.0,65.6,134.5
9,19.4,16.9,40.1,23.8,6.0,87.3,106.2
10,16.6,23.1,20.9,17.4,13.0,90.3,91.1
11,10.3,19.7,21.4,18.3,15.0,66.2,84.8
12,7.6,31.5,29.2,4.9,12.0,59.6,85.2
