week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,17.6,12.9,29.3,23.1,10.0,91.3,92.9
2,18.6,31.8,49.8,3.5,11.0,107.6,114.7
3,11.7,23.5,27.8,8.0,3.0,89.4,74.0
4,16.6,17.2,21.0,30.2,7.7,104.1,92.7
5,19.4,6.0,41.3,22.5,9.0,99.6,98.2
6,11.1,16.8,17.8,9.5,16.0,100.0,71.2
7,10.2,19.1,29.9,17.1,10.0,107.0,86.3
8,11.5,13.5,23.6,33.3,7.0,116.3,88.9
9,22.7,18.2,45.6,8.3,0.0,107.4,94.9
10,22.9,16.9,51.9,17.2,5.0,108.0,114.0
11,19.3,10.5,32.4,13.3,2.0,119.6,77.5
