week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,18.5,24.7,23.1,15.4,10.0,58.8,91.7
2,21.8,27.2,35.4,16.6,10.0,77.9,110.9
3,17.5,24.5,55.5,9.9,17.0,62.8,124.4
4,24.9,26.7,42.3,16.0,7.0,56.7,116.9
5,15.6,17.8,19.5,31.0,0.0,55.5,83.9
6,27.2,6.4,54.2,7.2,5.0,55.2,100.0
7,4.7,39.3,19.5,8.0,0.0,63.0,71.4
8,4.1,19.4,22.1,8.0,17.0,48.5,70.6
9,26.8,23.2,55.8,27.4,0.0,39.8,133.3
10,1.6,17.9,25.9,11.8,8.0,94.1,65.2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,14.5,20.6,43.8,10.1,15.0,74.8,104.0
13,4.7,23.0,19.6,13.1,14.0,97.8,74.3
14,11.1,31.5,21.8,5.4,9.0,79.1,78.8
15,15.4,17.7,26.5,8.2,6.0,99.1,73.9
