week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,25.7,19.2,35.2,19.1,15.0,62.1,114.1
2,11.8,27.1,13.5,11.6,14.0,44.7,78.0
3,17.7,17.4,14.5,7.2,20.0,77.4,76.8
4,15.7,18.1,11.9,17.7,10.0,80.4,73.4
5,28.3,26.9,32.1,23.9,7.0,79.9,118.2
6,13.4,9.0,14.8,9.9,9.0,27.0,56.0
7,10.5,18.1,36.3,6.3,7.0,31.5,78.3
8,0.0,42.5,37.9,7.1,8.0,85.7,95.5
9,0.0,0.0,0.0,0.0,0.0,1.7,0.0
10,0.0,11.4,26.1,18.5,9.0,47.3,65.0
11,15.4,32.3,36.0,8.5,9.0,40.3,101.2
12,7.2,25.7,15.2,4.1,11.0,65.9,63.2
13,13.4,43.8,14.0,15.2,7.0,90.2,93.4
