week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.8,20.4,28.7,7.3,11.0,77.4,75.2
2,22.1,8.5,8.0,11.2,6.0,59.3,55.8
3,13.8,24.5,41.8,3.1,0.0,96.4,83.2
4,18.9,34.5,25.7,3.9,17.0,74.6,99.9
5,17.9,8.6,31.1,13.3,9.0,85.3,79.9
6,23.6,1.6,20.4,4.7,0.0,86.9,50.3
7,0.0,11.7,40.4,10.3,18.0,101.8,80.4
8,19.4,11.1,12.4,5.0,0.0,110.0,47.9
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.8,21.1,8.0,5.3,8.0,60.8,50.3
11,12.1,24.3,36.7,2.8,5.0,59.9,80.9
12,27.1,12.1,48.2,11.1,6.0,92.3,104.5
13,9.5,39.8,15.1,18.4,6.0,76.8,88.8
