week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.9,35.1,20.4,24.4,0.0,72.8,96.8
2,10.9,24.1,17.3,16.4,12.0,122.6,80.7
3,11.7,12.2,17.6,21.2,6.0,124.3,68.8
4,16.1,21.0,32.5,16.9,10.0,106.6,96.4
5,26.7,26.0,58.9,12.1,12.0,158.5,135.7
6,19.2,16.5,54.9,6.9,8.3,107.6,105.8
7,13.7,14.7,28.7,21.7,8.0,95.8,86.7
8,0.0,0.0,0.0,0.0,0.0,14.5,0.0
9,15.2,24.3,27.8,13.1,0.0,142.6,80.4
10,19.4,18.1,31.0,31.6,2.0,86.7,102.1
11,13.2,18.1,27.0,18.3,3.0,99.5,79.5
