week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.0,27.7,34.3,8.2,8.0,49.4,85.2
2,17.3,20.4,61.9,15.5,9.0,81.5,124.1
3,15.8,33.7,36.1,8.5,10.0,77.6,104.1
4,18.4,37.0,31.0,9.1,9.0,46.0,104.5
5,15.3,33.8,23.4,14.3,3.0,81.0,89.8
6,8.7,20.2,25.5,17.4,10.0,67.3,81.8
7,23.4,19.1,41.2,16.4,7.0,86.3,107.0
8,23.3,39.4,45.6,11.6,9.0,88.5,128.9
9,27.7,7.4,35.1,14.0,11.0,61.1,95.2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16.4,10.0,44.7,12.8,0.0,75.0,83.9
