week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,6.4,18.8,1.5,8.0,78.9,34.7
2,20.9,16.0,24.6,5.2,10.0,69.1,76.6
3,26.1,6.3,53.5,14.2,4.0,70.2,104.1
4,0.0,39.2,27.5,18.0,0.0,57.3,84.7
5,14.6,15.9,35.1,2.4,6.0,80.4,74.0
6,19.9,30.9,22.5,4.1,0.0,74.4,77.4
7,23.3,18.8,37.1,21.9,18.0,66.3,119.1
8,23.0,23.8,42.4,26.2,4.0,50.0,119.3
9,27.2,13.7,33.8,22.4,9.0,59.9,106.1
10,24.8,48.3,52.7,2.6,13.0,64.3,141.4
11,6.8,32.0,15.4,0.0,11.0,63.0,65.2
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16.4,30.0,32.2,13.9,9.0,110.2,101.5
