team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,19,25,4,15,3,21,19
ATL,28,12,3,16,1,2,21
BAL,11,28,21,25,23,8,20
BUF,4,16,2,22,11,1,5
CAR,27,27,15,21,8,24,26
CHI,15,1,24,17,18,15,4
CIN,21,13,23,32,15,32,18
CLE,30,8,26,4,27,22,17
DAL,2,20,32,31,32,18,24
DEN,10,21,5,14,9,17,22
DET,3,5,14,2,25,12,3
GB,5,31,9,1,10,28,14
HOU,20,7,1,5,2,4,1
IND,1,3,19,6,30,30,7
JAX,24,2,25,8,21,11,2
KC,7,15,6,10,12,3,8
LAC,16,18,11,19,17,10,13
LAR,12,9,10,3,5,7,23
LV,31,22,13,13,22,6,9
MIA,25,23,28,30,6,25,30
MIN,18,17,12,12,4,14,12
NE,8,6,8,7,16,31,25
NO,29,10,20,24,13,16,29
NYG,22,29,31,28,29,23,28
NYJ,23,32,29,26,20,27,32
PHI,9,24,22,23,19,5,31
PIT,13,11,27,9,26,29,15
SEA,6,19,7,11,7,19,10
SF,26,26,18,20,24,13,6
TB,14,4,17,27,14,20,11
TEN,32,14,16,29,28,9,16
WSH,17,30,30,18,31,26,27
