Brandon Aubrey K - DAL,The Eskimo Brothers
Spencer Shrader K - IND,Fishoutawater
Jake Elliott K - PHI,Pidgin
Tyler Loop K - BAL,Sea Sharp
Jake Bates K - DET,Korntool
Chris Boswell K - PIT,Striking Shibas
Cameron Dicker K - LAC,Hockenhull Aerospace
Evan McPherson K - CIN,Annihilators
Matt Gay K - WAS,Fug it we Baal
Wil Lutz K - DEN,Unsolicited Nix Picks
Atlanta Falcons DEF,Striking Shibas
Seattle Seahawks DEF,Sea Sharp
Baltimore Ravens DEF,Pidgin
Los Angeles Rams DEF,Fishoutawater
San Francisco 49ers DEF,Fug it we Baal
Green Bay Packers DEF,The Eskimo Brothers
Pittsburgh Steelers DEF,Hockenhull Aerospace
Minnesota Vikings DEF,Unsolicited Nix Picks
Indianapolis Colts DEF,Annihilators
Denver Broncos DEF,Korntool
