id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4362081,Cameron Dicker,LAC,K,12,101.15343049999998,ACTIVE,0,0,117.11900647948164,36.599999999999994,9.0,8.48211902,8.38176831,8.68417686,8.82776401,8.83672343,8.54234531,8.11688547,8.76452056,8.40072574,8.05934453,0.0,8.61177097,8.04640907,8.0610052,8.7724951,8.11344111
3150744,Chase McLaughlin,TB,K,9,100.35597623,ACTIVE,0,0,106.52224622030238,36.8,5.0,1.0,8.57118224,17.0,7.93252287,8.27134646,8.21857073,8.64348444,0.0,8.41212716,8.28808856,8.00571119,8.34135295,8.7695996,8.3398112,8.35406663,8.77929444
2976212,Stefon Diggs,NE,WR,14,152.11904249000003,ACTIVE,0,0,116.47105187732875,70.0,12.14842181,10.06259509,10.44953778,16.1,12.87053293,12.95092199,12.72496094,11.81309049,11.98386334,12.7421914,12.70480279,12.91118025,12.12141407,0.0,12.82514707,13.73156123,12.73937599
4361529,Isiah Pacheco,KC,RB,10,98.12177145999999,ACTIVE,0,0,108.1719690455718,72.25,4.8,3.9,11.05263445,9.18932807,7.73568562,7.97907867,8.64879833,8.72863747,8.02336907,0.0,7.54598711,8.35850256,8.76270472,7.84226733,7.6831029,9.08406696,7.72957072
-16034,Texans D/ST,HOU,DST,6,71.92197157,ACTIVE,0,0,122.73166329771874,39.6,5.90158976,5.0,5.2378239,7.19691833,5.52704586,0.0,6.32759335,4.73428527,5.52113626,5.78454192,7.16202916,3.50109373,6.15034476,5.23629087,7.75031504,7.82732229,6.39997306
-16023,Steelers D/ST,PIT,DST,5,65.757496,ACTIVE,0,0,88.28407450187699,40.4,8.27423407,4.0,5.8141659,9.0,0.0,8.06659832,7.57134944,4.07238919,5.36400208,4.87687446,7.84146532,4.61481151,3.23508305,3.70229243,5.18264567,3.06508499,8.16489954
4685415,Travis Hunter,JAX,WR,8,108.49704323999998,ACTIVE,0,0,97.44425349087003,73.75,12.89438844,13.62236219,3.1,7.2,8.86635008,8.7504114,9.22095909,0.0,9.22986204,8.33691904,8.66847945,8.99303525,9.23562143,9.5197907,9.18274536,8.95440036,9.53846904
4635008,Keon Coleman,BUF,WR,7,119.34537356,ACTIVE,0,0,133.45930065921468,63.0,25.2,12.48073882,12.57584663,10.46656506,10.20898757,9.54921077,0.0,9.87655335,9.82481062,10.54706322,10.05178111,9.33979636,10.25979552,9.9829283,10.30148694,9.43539013,9.96756967
3123076,David Njoku,CLE,TE,9,96.01096846,QUESTIONABLE,0,0,110.60662318113397,68.75,11.25117069,10.48949792,9.40349404,3.1,8.11114364,8.40706743,8.70084419,8.45661514,0.0,7.71326551,8.21305453,7.71988933,7.55276441,7.61404689,8.00818291,7.68640033,7.82769415
4701936,Matthew Golden,GB,WR,5,123.12747458999999,ACTIVE,0,0,115.55503009458297,71.75,12.29770339,1.5,8.8148068,10.81839163,0.0,10.99352389,10.57099199,10.90565712,10.62623068,9.66818095,9.55510601,9.65855359,10.27510208,10.30635112,9.66729213,10.31406735,10.58641768
