week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,18.3,9.0,42.5,10.8,0.0,100.5,14.0
2,9.9,12.7,12.4,3.3,0.0,110.1,7.0
3,10.7,6.1,20.7,7.2,0.0,105.9,9.0
4,27.0,27.0,30.2,26.6,6.0,100.6,36.0
5,22.9,13.5,27.9,4.8,9.0,83.1,21.0
6,28.5,26.3,66.9,17.3,8.0,82.5,34.0
7,17.5,17.0,33.2,13.2,15.0,41.6,25.0
8,6.1,29.8,13.0,5.7,9.0,82.0,13.0
9,6.0,33.0,8.2,11.7,5.0,55.3,24.0
10,0.2,17.6,17.3,8.6,5.0,124.1,10.0
11,23.1,15.8,47.6,5.3,9.0,91.6,27.0
12,13.2,27.0,38.9,13.2,10.0,48.1,33.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,11.9,27.8,12.1,20.6,12.0,86.5,29.0
15,20.8,16.7,49.0,7.8,7.0,77.9,31.0
16,14.4,29.1,12.5,12.4,16.0,64.2,32.0
17,17.4,22.6,24.6,1.4,14.0,53.3,18.0
