week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,22.0,24.9,59.4,8.1,8.0,110.4,24.0
2,12.2,13.3,25.0,1.0,8.0,81.9,20.0
3,13.2,29.5,51.1,11.2,3.0,93.7,10.0
4,17.8,20.9,29.0,9.8,3.0,113.5,21.0
5,19.8,34.3,45.2,7.2,13.0,101.6,25.0
6,8.2,19.6,24.7,15.4,3.0,130.1,11.0
7,24.6,18.3,31.9,12.7,6.0,150.3,17.0
8,26.1,52.1,51.2,11.7,7.0,110.8,34.0
9,16.7,35.1,23.2,16.8,10.0,87.8,41.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8.6,15.3,10.9,27.5,8.0,108.6,13.0
12,8.5,13.2,32.2,16.0,5.0,132.6,10.0
13,25.3,21.5,57.3,8.2,11.0,100.6,41.0
14,20.1,11.1,39.1,34.1,7.0,117.3,26.0
15,10.2,19.2,16.4,19.5,5.0,81.3,10.0
16,19.2,13.4,39.4,26.5,3.0,178.8,21.0
17,20.9,31.4,35.8,21.7,7.0,149.4,31.0
