week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,19.2,29.4,43.9,11.8,13.0,149.3,41.0
2,26.8,45.9,26.7,14.2,5.0,94.2,35.0
3,19.3,5.8,33.2,17.5,17.0,75.2,19.0
4,7.3,38.3,27.9,1.6,6.0,106.8,24.0
5,13.4,29.0,34.6,4.5,16.0,85.0,19.0
6,26.8,43.3,30.5,10.5,11.0,72.9,34.0
7,27.2,9.8,71.2,9.6,9.0,95.1,28.0
8,11.7,38.4,9.4,15.1,16.0,65.8,44.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,15.3,19.6,38.1,9.4,12.0,70.9,16.0
11,7.9,25.2,23.5,13.4,0.0,60.5,13.0
12,15.8,11.3,30.2,25.9,10.0,75.5,16.0
13,20.2,26.7,52.1,12.6,10.0,117.4,27.0
14,15.2,44.4,15.7,24.2,10.0,75.1,38.0
15,15.1,16.8,46.0,13.4,6.0,111.8,12.0
16,13.1,12.8,12.6,26.3,11.0,97.1,20.0
17,27.8,35.3,57.8,10.6,18.0,92.6,51.0
