week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,27.1,15.5,46.3,16.7,4.0,96.4,28.0
2,17.2,21.8,51.2,1.8,9.0,104.0,27.0
3,21.5,28.0,31.2,8.7,5.0,77.6,25.0
4,14.8,7.3,27.7,19.3,5.0,113.8,17.0
5,41.9,15.6,51.0,45.0,3.0,123.6,31.0
6,6.2,1.4,35.0,10.9,3.0,110.6,3.0
7,5.2,21.3,27.4,6.5,0.0,99.8,18.0
8,21.2,13.1,42.9,18.3,12.0,112.6,34.0
9,7.8,25.3,60.3,18.6,6.0,135.9,30.0
10,9.8,19.8,30.1,13.7,4.0,90.9,17.0
11,16.2,17.2,34.9,14.0,0.0,107.2,15.0
12,11.2,53.8,11.2,24.6,8.0,116.5,38.0
13,4.4,8.6,8.4,7.0,0.0,110.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,17.2,12.4,35.2,27.2,5.0,71.6,17.0
16,21.9,27.0,27.0,14.7,2.0,92.1,16.0
17,11.8,24.5,42.0,1.9,13.0,80.9,23.0
