week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.3,13.5,16.7,12.0,14.0,110.2,16.0
2,7.5,40.7,27.3,10.5,10.0,113.3,20.0
3,22.9,22.8,29.1,29.2,6.0,127.0,24.0
4,14.4,10.9,21.0,15.0,1.0,121.9,14.0
5,23.0,49.9,23.9,29.9,10.0,163.9,42.0
6,12.8,24.9,20.6,19.0,12.0,74.9,34.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11.7,21.9,29.4,7.6,15.0,96.5,27.0
9,16.7,23.4,25.9,7.3,6.0,128.7,24.0
10,17.5,38.7,34.4,18.5,10.0,81.5,27.0
11,22.9,17.9,44.4,22.5,14.0,151.4,37.0
12,16.2,29.9,12.8,13.5,4.0,96.6,28.0
13,16.6,15.5,52.5,5.0,5.0,142.3,22.0
14,18.3,41.0,9.9,10.4,1.0,131.9,21.0
15,29.6,20.9,41.1,41.4,8.0,106.2,34.0
16,18.1,32.3,47.6,12.6,0.0,114.9,41.0
17,15.9,14.4,17.7,23.7,10.0,119.6,13.0
