week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,18.0,30.7,34.6,5.0,11.0,147.2,27.0
2,13.8,19.2,45.6,7.6,7.0,103.8,17.0
3,20.3,20.0,33.0,18.6,10.0,143.5,28.0
4,21.3,37.9,16.6,33.1,4.0,62.3,28.0
5,9.2,23.9,15.5,11.4,10.0,67.1,20.0
6,18.3,21.4,45.3,30.0,6.0,110.2,24.0
7,23.5,27.7,27.3,12.0,2.0,125.0,22.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8.1,19.9,6.5,18.8,11.0,104.1,23.0
10,36.2,35.5,55.0,27.3,11.0,84.5,41.0
11,9.0,31.1,32.3,4.2,21.0,76.3,32.0
12,25.3,33.7,44.3,23.6,7.0,133.5,33.0
13,14.8,22.3,17.0,21.0,6.0,93.5,17.0
14,20.3,49.3,32.2,5.7,14.0,76.8,48.0
15,9.9,26.4,14.2,15.0,1.0,87.7,14.0
16,7.1,11.0,20.1,6.0,9.0,88.1,13.0
17,10.9,24.2,24.0,5.8,10.0,96.2,20.0
