week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,15.2,24.4,31.3,15.9,11.0,85.2,16.0
2,16.7,32.7,31.5,9.7,4.0,64.0,35.0
3,21.2,39.0,54.1,12.2,13.0,106.9,31.0
4,17.9,24.8,27.2,23.9,10.0,78.1,27.0
5,39.3,37.1,50.5,6.1,10.0,92.3,45.0
6,15.9,23.0,47.2,9.9,16.0,126.7,23.0
7,17.4,16.7,35.4,31.5,12.0,128.7,30.0
8,29.5,15.7,48.9,6.0,10.0,69.3,26.0
9,5.9,8.1,32.2,7.9,10.0,97.4,9.0
10,15.4,8.8,32.4,18.3,4.0,102.0,10.0
11,17.9,15.6,52.5,6.9,3.0,109.7,17.0
12,7.7,8.5,22.5,1.4,5.0,127.3,10.0
13,5.5,22.8,10.0,13.9,10.0,110.0,9.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,12.0,12.1,21.5,11.4,6.0,99.6,24.0
16,2.0,10.4,20.0,2.8,3.0,94.6,3.0
17,13.5,37.4,9.4,21.3,11.0,52.1,34.0
