week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.4,25.0,10.1,13.9,6.0,129.9,6.0
2,19.6,21.7,29.3,5.7,6.0,64.1,17.0
3,20.1,34.1,26.7,29.4,5.0,88.7,41.0
4,31.7,33.7,58.0,13.5,6.0,122.5,42.0
5,6.1,18.6,17.2,17.2,14.0,92.1,18.0
6,18.0,37.0,14.0,22.5,4.0,50.2,28.0
7,19.4,42.2,31.4,18.0,9.0,92.5,33.0
8,9.5,29.8,7.6,18.9,0.0,110.6,6.0
9,31.6,13.3,38.2,37.6,7.0,79.3,27.0
10,9.0,16.2,20.4,21.6,6.0,108.5,13.0
11,24.2,17.4,31.5,19.8,5.0,103.8,29.0
12,15.1,13.0,18.5,6.7,6.0,57.9,13.0
13,21.0,17.3,37.8,9.5,0.0,121.4,18.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,7.8,27.0,19.9,10.8,5.0,117.2,17.0
16,7.0,18.4,15.2,11.7,6.0,103.4,10.0
17,9.3,23.9,29.3,8.3,12.0,87.1,16.0
