week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,17.2,11.4,51.1,8.1,11.0,86.8,16.0
2,24.2,13.7,17.7,26.2,17.0,93.2,26.0
3,17.6,16.7,41.4,0.0,7.0,112.0,24.0
4,24.1,21.6,41.6,4.5,9.0,89.0,27.0
5,18.6,17.9,51.4,5.0,7.0,103.1,19.0
6,10.3,33.2,21.1,14.8,10.0,107.0,20.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.5,20.5,14.7,18.8,8.0,99.0,10.0
9,18.1,11.3,37.4,18.5,8.0,104.2,27.0
10,4.6,38.4,20.7,1.2,0.0,99.4,16.0
11,34.3,42.2,47.6,15.3,12.0,121.7,41.0
12,16.4,38.6,33.6,13.0,13.0,74.9,41.0
13,17.6,28.1,28.5,9.0,7.0,104.5,19.0
14,14.0,37.9,37.8,6.7,12.0,120.9,36.0
15,9.9,33.5,15.7,4.5,7.0,75.2,13.0
16,22.3,35.2,45.0,5.3,0.0,75.2,36.0
17,13.0,8.2,21.3,24.7,2.0,107.2,14.0
