id,name,team,position,bye_week,drafted,locked,fantasy_points,average_draft_position,player_rating,injury_status,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
3918298,Josh Allen,BUF,QB,7,0,0,378.7,24.2,100.0,ACTIVE,21.6,23.1,21.7,24.9,26.1,25.4,,26.6,26.3,27.4,24.9,23.6,21.4,21.4,21.4,21.4,21.4
3139477,Patrick Mahomes,KC,QB,12,0,0,358.7,26.7,96.3,ACTIVE,22.2,23.9,23.2,23.2,21.9,26.0,26.2,23.9,22.0,20.7,22.2,,20.7,20.7,20.7,20.7,20.7
3916387,Lamar Jackson,BAL,QB,8,0,0,349.1,67.8,93.5,ACTIVE,22.3,21.8,23.7,19.1,22.7,23.8,23.0,,24.0,25.7,,24.8,23.6,23.6,23.6,23.6,23.6
2330,Tom Brady,TB,QB,9,0,0,345.0,79.8,97.2,ACTIVE,21.5,21.1,19.8,20.0,23.0,23.1,21.4,21.0,,25.2,21.7,22.7,20.9,20.9,20.9,20.9,20.9
2977187,Cooper Kupp,LAR,WR,11,0,0,338.1,17.7,100.0,ACTIVE,13.4,14.8,18.5,19.0,23.7,22.5,23.0,23.8,23.4,24.1,,22.9,21.8,21.8,21.8,21.8,21.8
4038941,Justin Herbert,LAC,QB,7,0,0,335.6,116.9,98.1,ACTIVE,17.8,21.0,20.3,20.8,19.2,24.3,,20.9,20.8,20.5,19.3,20.6,22.0,22.0,22.0,22.0,22.0
12483,Matthew Stafford,LAR,QB,11,0,0,321.5,134.2,95.4,ACTIVE,16.9,17.1,19.4,19.4,21.9,21.4,22.3,21.8,21.3,21.3,,19.2,19.9,19.9,19.9,19.9,19.9
3116406,Tyreek Hill,KC,WR,12,0,0,318.4,10.9,99.3,ACTIVE,18.2,20.8,18.5,17.7,19.4,21.6,21.8,20.2,20.3,19.7,21.6,,19.7,19.7,19.7,19.7,19.7
4242335,Jonathan Taylor,IND,RB,14,0,0,305.5,9.4,100.0,ACTIVE,15.6,17.6,17.4,16.4,14.2,16.1,16.4,17.0,19.2,18.8,17.5,21.8,24.4,,24.4,24.4,24.4
2577417,Dak Prescott,DAL,QB,7,0,0,303.9,57.2,91.7,ACTIVE,20.8,20.3,19.5,18.4,22.1,19.5,,,21.0,21.5,21.8,19.9,19.8,19.8,19.8,19.8,19.8
4241457,Najee Harris,PIT,RB,7,0,0,300.2,9.3,98.6,ACTIVE,14.7,18.6,17.5,17.1,17.3,22.6,,21.4,22.0,21.6,20.6,18.5,17.6,17.6,17.6,17.6,17.6
3068267,Austin Ekeler,LAC,RB,7,0,0,297.6,20.7,99.5,ACTIVE,15.0,17.4,17.6,17.9,17.2,20.2,,18.1,18.7,19.1,18.8,19.5,19.6,19.6,19.6,19.6,19.6
3915511,Joe Burrow,CIN,QB,10,0,0,285.9,154.4,88.9,QUESTIONABLE,16.4,17.0,15.1,17.5,17.4,18.3,18.7,19.0,19.2,,18.6,17.8,18.2,18.2,18.2,18.2,18.2
3116385,Joe Mixon,CIN,RB,10,0,0,283.4,18.6,99.1,ACTIVE,14.6,16.0,16.9,19.6,13.6,17.5,16.2,14.8,15.5,,15.8,16.9,21.2,21.2,21.2,21.2,21.2
