week,team,opponent
1,ARI,KC
1,ATL,NO
1,BAL,NYJ
1,BUF,LAR
1,CAR,CLE
1,CHI,SF
1,CIN,PIT
1,CLE,CAR
1,DAL,TB
1,DEN,SEA
1,DET,PHI
1,GB,MIN
1,HOU,IND
1,IND,HOU
1,JAX,WSH
1,KC,ARI
1,LAC,LV
1,LAR,BUF
1,LV,LAC
1,MIA,NE
1,MIN,GB
1,NE,MIA
1,NO,ATL
1,NYG,TEN
1,NYJ,BAL
1,PHI,DET
1,PIT,CIN
1,SEA,DEN
1,SF,CHI
1,TB,DAL
1,TEN,NYG
1,WSH,JAX
2,ARI,LV
2,ATL,LAR
2,BAL,MIA
2,BUF,TEN
2,CAR,NYG
2,CHI,GB
2,CIN,DAL
2,CLE,NYJ
2,DAL,CIN
2,DEN,HOU
2,DET,WSH
2,GB,CHI
2,HOU,DEN
2,IND,JAX
2,JAX,IND
2,KC,LAC
2,LAC,KC
2,LAR,ATL
2,LV,ARI
2,MIA,BAL
2,MIN,PHI
2,NE,PIT
2,NO,TB
2,NYG,CAR
2,NYJ,CLE
2,PHI,MIN
2,PIT,NE
2,SEA,SF
2,SF,SEA
2,TB,NO
2,TEN,BUF
2,WSH,DET
3,ARI,LAR
3,ATL,SEA
3,BAL,NE
3,BUF,MIA
3,CAR,NO
3,CHI,HOU
3,CIN,NYJ
3,CLE,PIT
3,DAL,NYG
3,DEN,SF
3,DET,MIN
3,GB,TB
3,HOU,CHI
3,IND,KC
3,JAX,LAC
3,KC,IND
3,LAC,JAX
3,LAR,ARI
3,LV,TEN
3,MIA,BUF
3,MIN,DET
3,NE,BAL
3,NO,CAR
3,NYG,DAL
3,NYJ,CIN
3,PHI,WSH
3,PIT,CLE
3,SEA,ATL
3,SF,DEN
3,TB,GB
3,TEN,LV
3,WSH,PHI
4,ARI,CAR
4,ATL,CLE
4,BAL,BUF
4,BUF,BAL
4,CAR,ARI
4,CHI,NYG
4,CIN,MIA
4,CLE,ATL
4,DAL,WSH
4,DEN,LV
4,DET,SEA
4,GB,NE
4,HOU,LAC
4,IND,TEN
4,JAX,PHI
4,KC,TB
4,LAC,HOU
4,LAR,SF
4,LV,DEN
4,MIA,CIN
4,MIN,NO
