week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,23.1,16.5,32.6,11.4,1.0,151.6,21.0
2,23.5,29.0,46.8,13.1,6.0,89.4,24.0
3,0.0,18.3,26.0,19.9,20.0,79.2,20.0
4,31.3,24.6,49.3,8.8,8.0,111.9,31.0
5,18.0,38.2,58.0,4.9,16.0,114.4,29.0
6,26.4,5.6,51.2,14.4,6.0,83.8,24.0
7,0.7,15.0,45.5,21.8,14.0,131.3,23.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.2,27.0,0.0,11.2,0.0,119.4,17.0
10,21.0,11.6,54.0,6.2,3.0,126.0,17.0
11,19.7,22.5,51.8,1.6,10.0,132.4,27.0
12,8.4,12.7,22.9,2.2,0.0,115.7,10.0
13,30.0,8.1,41.4,2.3,10.0,79.5,27.0
14,28.2,31.2,44.0,13.4,4.0,113.8,28.0
15,20.1,21.8,35.7,13.2,6.0,125.1,24.0
16,12.2,22.7,21.9,19.6,4.0,89.4,10.0
17,49.6,11.2,19.2,13.5,7.0,117.4,24.0
