week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.3,30.7,18.3,6.1,1.0,119.6,7.0
2,46.5,7.4,46.6,13.2,5.0,67.5,24.0
3,13.9,11.5,37.9,0.0,0.0,106.2,24.0
4,11.5,36.7,32.5,21.1,7.0,136.3,25.0
5,19.4,1.3,40.2,15.9,15.0,121.3,22.0
6,22.6,9.5,56.2,0.0,4.0,82.8,16.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24.6,3.4,72.2,13.4,9.0,121.5,26.0
9,0.0,12.5,37.5,3.9,6.0,92.6,17.0
10,19.6,4.1,64.0,9.7,13.0,121.8,30.0
11,21.9,42.4,28.4,4.3,23.0,44.3,40.0
12,23.3,20.2,43.2,15.3,15.0,125.6,26.0
13,0.0,26.9,53.1,7.0,20.0,87.3,22.0
14,26.1,17.0,65.9,3.8,11.0,101.3,34.0
15,0.0,21.0,24.0,10.0,29.0,154.3,36.0
16,20.8,28.2,55.7,14.5,14.0,133.2,24.0
17,16.8,24.4,11.1,1.4,13.0,81.3,41.0
