week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,17.8,26.5,31.4,8.3,10.0,77.0,16.0
2,2.5,26.2,30.0,10.8,8.0,56.5,27.0
3,0.0,27.2,21.3,23.4,12.0,115.1,27.0
4,33.2,13.9,38.1,0.0,13.0,113.6,45.0
5,17.9,46.9,21.3,47.6,9.0,108.0,39.0
6,14.9,0.7,25.4,14.0,0.0,95.2,9.0
7,18.1,36.7,31.9,11.3,0.0,121.7,23.0
8,9.0,17.7,30.3,3.8,8.0,106.3,13.0
9,19.0,11.6,31.6,15.0,3.0,122.1,21.0
10,16.0,14.7,48.3,6.5,2.0,90.4,21.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.3,65.6,41.4,12.3,9.0,104.1,40.0
13,6.5,19.9,34.2,3.4,0.0,132.4,23.0
14,0.0,59.3,20.3,3.1,13.0,90.2,30.0
15,29.7,32.2,12.6,29.1,2.0,83.3,21.0
16,23.8,23.2,9.3,19.1,7.0,83.4,24.0
17,0.0,15.6,27.0,19.4,7.0,109.4,6.0
