week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.0,4.2,26.9,0.0,5.0,108.5,3.0
2,26.6,24.2,36.0,9.4,4.0,101.9,10.0
3,16.1,11.5,31.2,4.6,2.0,88.8,14.0
4,23.4,29.7,15.8,40.0,0.0,122.0,41.0
5,0.0,18.0,27.7,4.0,0.0,97.8,15.0
6,18.5,13.1,14.4,8.3,10.0,74.1,20.0
7,26.5,15.3,6.9,22.0,3.0,77.2,21.0
8,21.8,26.0,35.5,26.0,8.0,88.5,27.0
9,10.5,3.2,33.6,0.0,0.0,113.5,13.0
10,19.2,13.2,38.1,12.9,6.0,95.5,16.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,23.3,38.1,31.9,6.0,100.5,23.0
13,16.0,25.3,25.4,18.1,10.0,94.8,16.0
14,34.2,37.6,34.4,6.8,5.0,80.7,35.0
15,24.8,10.4,51.3,12.4,9.0,104.5,34.0
16,4.1,25.2,34.1,4.7,14.0,111.3,16.0
17,6.0,16.5,24.5,26.3,7.0,151.9,24.0
