week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.7,17.0,38.9,4.5,9.0,96.6,9.0
2,15.4,23.3,54.2,8.3,6.0,115.1,24.0
3,0.0,3.1,37.7,5.0,24.0,82.1,22.0
4,2.0,15.6,15.3,12.2,5.0,116.4,3.0
5,51.7,15.9,34.5,5.3,11.0,82.9,17.0
6,5.7,24.3,15.1,5.9,10.0,116.1,16.0
7,9.4,31.1,37.7,11.2,0.0,113.3,6.0
8,3.4,9.1,9.8,25.5,5.0,81.3,24.0
9,20.4,5.0,24.5,0.0,3.0,120.2,3.0
10,25.1,38.3,37.7,13.6,14.0,76.6,33.0
11,19.5,2.0,21.0,12.8,9.0,88.8,20.0
12,13.4,8.1,6.9,3.1,4.0,117.1,10.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,23.7,15.2,53.1,25.8,0.0,134.8,31.0
15,14.7,10.4,31.1,10.6,2.0,87.7,7.0
16,2.4,26.6,36.4,19.6,6.0,126.6,19.0
17,14.9,34.1,16.6,10.3,7.0,146.0,19.0
