week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.4,15.7,35.5,1.2,11.0,105.6,22.0
2,11.1,6.6,27.1,1.2,5.0,142.9,10.0
3,0.0,7.0,14.2,13.3,3.0,130.1,3.0
4,14.0,35.8,36.2,23.6,2.0,149.5,20.0
5,15.7,37.2,47.8,9.4,13.0,108.3,25.0
6,0.0,8.7,34.5,9.3,10.0,100.1,9.0
7,0.0,29.4,40.7,8.5,12.0,113.0,29.0
8,21.4,22.0,37.8,8.7,5.0,130.4,18.0
9,22.3,3.9,37.6,20.5,6.0,97.7,24.0
10,0.0,31.5,19.7,3.5,15.0,78.5,24.0
11,6.7,20.9,0.9,9.3,0.0,139.4,6.0
12,46.1,13.2,57.2,0.0,9.0,133.9,37.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13.6,21.5,33.7,14.3,5.0,115.5,17.0
15,6.1,3.5,23.5,11.9,4.0,126.9,10.0
16,17.1,15.5,24.4,4.9,21.0,69.7,22.0
17,12.1,26.0,23.6,5.8,2.0,91.8,21.0
