week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,23.0,16.9,29.0,8.0,10.0,73.0,38.0
2,18.4,23.2,45.7,11.1,8.0,110.1,27.0
3,25.7,49.4,48.9,21.8,12.0,102.6,41.0
4,0.0,28.8,27.9,2.8,9.0,129.0,31.0
5,0.0,8.3,23.1,35.5,6.0,121.1,20.0
6,0.0,2.5,16.7,11.0,10.0,98.2,19.0
7,33.3,12.0,37.9,4.7,6.0,94.2,12.0
8,24.0,33.3,25.7,14.3,16.0,82.0,30.0
9,16.7,18.3,31.9,37.8,7.0,85.3,24.0
10,9.2,13.8,31.5,4.6,6.0,101.4,13.0
11,13.7,39.3,37.7,6.8,0.0,113.9,31.0
12,0.0,4.4,17.6,16.0,4.0,126.3,10.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4.4,28.7,26.1,7.3,0.0,97.7,13.0
15,0.2,13.2,50.9,28.2,15.0,84.2,20.0
16,20.4,34.4,14.4,12.8,6.0,96.2,16.0
17,15.1,27.4,16.0,3.9,3.0,119.8,17.0
