week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,3.2,2.8,12.1,6.6,3.0,88.1,3.0
2,40.7,17.9,31.1,1.2,12.0,107.5,26.0
3,4.2,20.0,16.3,3.7,4.0,134.1,3.0
4,28.1,32.9,9.4,25.0,4.0,56.1,28.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17.8,24.8,17.3,1.1,3.0,99.0,17.0
7,0.0,21.0,48.1,0.4,7.0,146.6,38.0
8,44.8,16.4,57.0,10.5,6.0,114.6,24.0
9,0.0,11.1,5.1,5.2,0.0,137.6,0.0
10,13.0,19.9,16.8,7.9,6.0,143.7,31.0
11,35.6,28.1,12.7,3.5,4.0,98.9,10.0
12,0.0,24.1,16.9,7.8,9.0,76.2,29.0
13,23.0,20.2,60.4,5.5,0.0,80.9,36.0
14,17.4,22.0,16.6,32.5,1.0,136.2,27.0
15,0.0,21.7,19.1,22.4,6.0,121.5,17.0
16,16.9,26.8,27.5,18.8,2.0,132.7,22.0
17,32.5,34.4,22.8,14.3,9.0,108.0,20.0
