week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,4.5,10.0,5.9,11.4,0.0,86.0,0.0
2,8.4,0.9,37.2,10.0,4.0,116.2,10.0
3,6.3,31.8,16.7,1.2,14.0,82.3,28.0
4,2.3,16.7,17.1,11.2,2.0,126.7,3.0
5,34.8,39.3,24.2,27.7,6.0,43.8,42.0
6,19.1,7.9,10.0,7.9,5.0,81.7,17.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.6,10.4,29.3,9.5,0.0,140.9,20.0
9,36.2,24.4,39.0,8.0,4.0,118.4,28.0
10,13.5,27.7,22.0,15.0,6.0,182.4,17.0
11,5.2,16.2,23.5,10.4,5.0,106.3,10.0
12,0.0,19.9,23.9,7.4,13.0,129.0,10.0
13,49.1,16.9,62.2,7.3,4.0,122.2,35.0
14,8.9,26.8,30.5,7.0,10.0,116.1,13.0
15,29.0,50.0,29.9,0.0,7.0,49.0,31.0
16,15.5,22.8,28.0,17.8,22.0,86.8,22.0
17,10.8,17.8,36.0,16.8,8.0,103.5,19.0
