week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,22.2,22.7,37.5,0.0,18.0,97.5,25.0
2,12.3,34.7,50.7,14.0,4.0,84.8,24.0
3,6.6,9.8,44.0,7.5,6.0,66.7,10.0
4,14.9,11.2,47.9,14.7,12.0,51.3,38.0
5,15.7,31.7,34.8,10.6,14.0,48.8,34.0
6,13.3,14.1,30.1,12.5,13.0,82.7,21.0
7,24.3,30.4,33.8,19.5,4.0,95.6,25.0
8,21.8,23.5,55.6,9.5,7.0,84.3,31.0
9,0.0,32.7,49.3,7.6,0.0,98.5,20.0
10,0.0,14.5,25.5,3.2,5.0,77.7,10.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10.2,15.8,36.2,4.2,5.0,77.5,10.0
13,8.0,4.5,15.0,3.2,6.0,52.1,6.0
14,40.2,15.8,11.2,12.5,6.0,100.6,18.0
15,15.7,36.3,36.1,17.3,10.0,89.6,27.0
16,0.0,29.9,23.0,12.8,0.0,129.2,23.0
17,21.2,7.6,22.3,12.7,9.0,80.5,27.0
