week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,9.0,16.9,47.6,12.1,13.0,91.8,16.0
2,19.6,11.5,33.9,17.2,18.0,60.5,30.0
3,0.0,20.3,23.7,3.7,8.0,75.9,15.0
4,13.2,27.8,32.0,22.4,11.0,93.2,23.0
5,0.0,31.4,4.2,12.6,7.0,107.6,21.0
6,19.9,19.1,32.7,9.2,1.0,96.4,14.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.2,9.0,2.6,1.4,2.0,82.3,10.0
9,7.1,20.4,10.6,7.4,11.0,76.0,27.0
10,14.1,6.2,22.6,12.4,14.0,92.0,16.0
11,22.5,37.5,28.7,12.7,17.0,38.8,32.0
12,7.8,31.7,44.8,2.0,12.0,62.5,34.0
13,0.0,16.2,3.4,18.1,8.0,59.4,13.0
14,3.8,28.9,8.2,6.5,0.0,128.3,6.0
15,13.0,29.1,33.2,15.3,12.0,36.5,30.0
16,0.0,31.1,13.1,19.0,0.0,125.2,28.0
17,4.7,36.1,30.0,21.2,2.0,122.0,37.0
