week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,29.7,12.1,36.1,11.2,1.0,121.8,7.0
2,21.5,29.4,48.4,10.3,13.0,123.0,23.0
3,4.0,22.9,13.6,8.4,9.0,147.7,12.0
4,6.2,16.1,36.0,1.5,4.0,131.3,16.0
5,4.4,3.3,24.3,5.8,6.0,150.0,10.0
6,3.8,34.9,30.9,5.4,16.0,70.0,19.0
7,0.0,19.0,45.4,22.2,11.0,93.8,22.0
8,27.6,15.0,62.3,3.1,8.0,117.0,31.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9.6,12.9,27.7,5.2,22.0,166.9,3.0
11,10.3,20.7,38.8,12.2,2.0,146.1,14.0
12,24.6,9.8,20.9,4.5,8.0,114.5,13.0
13,27.0,13.6,60.2,0.0,7.0,138.7,19.0
14,0.0,15.2,34.6,6.9,5.0,132.1,16.0
15,21.2,38.6,10.9,38.2,14.0,133.5,29.0
16,22.6,30.1,34.6,11.3,16.0,94.0,33.0
17,0.0,15.6,16.1,6.6,14.0,117.8,10.0
