id,name,team,position,bye_week,drafted,locked,fantasy_points,average_draft_position,player_rating,injury_status,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
3117251,Christian McCaffrey,SF,RB,9,0,0,394.8,2.1,100.0,ACTIVE,25.9,22.5,22.9,48.7,13.8,14.2,22.6,29.8,,20.2,21.3,30.9,23.0,24.6,25.1,24.0,25.4
3116406,Tyreek Hill,MIA,WR,10,0,0,373.0,2.9,100.0,ACTIVE,44.5,15.0,30.7,10.2,32.1,28.3,25.8,25.2,12.5,,30.6,25.4,23.5,23.6,,22.7,23.0
3918298,Josh Allen,BUF,QB,13,0,0,370.0,32.8,100.0,ACTIVE,9.0,23.7,21.3,36.5,27.8,13.9,24.3,29.1,24.7,14.4,22.5,39.7,,21.3,21.1,21.2,19.6
4040715,Jalen Hurts,PHI,QB,10,0,0,369.2,21.2,99.1,ACTIVE,12.5,25.2,19.9,24.2,27.3,19.9,23.3,27.4,25.9,,18.9,34.5,21.2,21.9,22.4,21.0,23.8
4241389,CeeDee Lamb,DAL,WR,7,0,0,344.6,20.5,99.3,ACTIVE,11.7,25.3,10.2,14.8,8.9,18.7,,41.0,28.1,39.5,16.5,17.3,21.9,24.1,22.4,21.2,23.0
2577417,Dak Prescott,DAL,QB,7,0,0,336.2,102.3,98.1,ACTIVE,6.3,19.6,14.4,14.3,4.3,24.9,,28.1,28.4,37.9,16.2,32.2,22.4,23.9,22.0,19.4,22.0
4047646,A.J. Brown,PHI,WR,10,0,0,312.3,10.6,98.6,QUESTIONABLE,14.9,6.9,22.1,38.5,18.7,20.1,29.7,33.0,19.6,,1.8,14.7,18.3,19.8,18.9,17.0,18.3
3916387,Lamar Jackson,BAL,QB,13,0,0,306.5,29.7,95.4,ACTIVE,6.6,22.9,28.2,28.1,9.9,17.1,33.9,12.0,11.5,13.0,24.0,15.0,,20.8,21.7,21.2,20.6
3139477,Patrick Mahomes,KC,QB,10,0,0,304.0,21.6,93.5,ACTIVE,19.5,21.2,25.7,13.2,19.2,17.3,33.9,5.6,15.8,,16.9,20.8,19.0,19.7,17.5,18.2,20.4
4374302,Amon-Ra St. Brown,DET,WR,9,0,0,301.5,18.7,98.2,ACTIVE,19.1,14.2,19.6,16.6,,30.4,23.2,16.8,,30.5,21.7,18.5,19.0,18.0,17.5,17.2,19.2
4361741,Brock Purdy,SF,QB,9,0,0,296.6,139.8,92.6,ACTIVE,16.8,14.7,20.3,21.3,26.1,7.7,12.8,18.3,,23.8,26.7,10.5,18.8,19.4,20.4,18.9,20.0
2976212,Stefon Diggs,BUF,WR,13,0,0,293.7,11.5,98.9,ACTIVE,26.2,13.6,19.1,36.0,24.1,20.0,17.8,16.0,22.6,6.4,6.7,19.4,,16.3,17.8,16.1,15.6
4036378,Jordan Love,GB,QB,6,0,0,282.2,166.3,91.7,ACTIVE,23.0,20.3,24.3,17.6,5.0,,15.3,14.6,13.8,16.7,20.9,26.6,16.3,16.9,17.9,16.6,16.4
4432577,C.J. Stroud,HOU,QB,7,0,0,278.6,82.6,96.3,ACTIVE,10.7,21.5,20.6,21.8,14.2,14.2,,12.9,41.8,19.0,15.3,30.9,19.8,17.0,,,19.0
15818,Keenan Allen,CHI,WR,13,0,0,275.4,17.4,99.6,ACTIVE,14.2,31.1,45.5,12.2,,21.5,9.5,14.9,15.7,40.5,27.6,22.6,,20.1,,,
4241479,Tua Tagovailoa,MIA,QB,10,0,0,272.6,84.9,88.9,ACTIVE,27.1,12.3,28.4,14.0,16.9,22.5,10.3,21.8,12.4,,17.6,7.8,18.3,17.9,14.2,16.2,14.9
4239996,Travis Etienne Jr.,JAX,RB,9,0,0,270.5,14.0,98.9,ACTIVE,21.4,6.2,17.8,10.2,36.4,23.3,22.7,25.9,,6.4,8.9,12.6,16.8,15.3,14.8,16.0,15.9
16737,Mike Evans,TB,WR,5,0,0,269.7,33.5,97.2,ACTIVE,18.6,29.1,17.0,7.0,,8.9,20.2,12.9,12.7,26.3,15.3,25.0,15.0,15.9,15.2,15.5,15.2
3046779,Jared Goff,DET,QB,9,0,0,268.3,159.8,89.8,ACTIVE,14.0,22.9,18.0,11.4,27.4,22.4,9.4,12.7,,21.1,13.7,18.2,15.4,15.0,15.0,15.2,16.4
3915416,DJ Moore,CHI,WR,13,0,0,266.1,56.7,97.9,ACTIVE,4.5,16.4,13.1,27.1,49.0,10.1,13.4,9.5,5.4,10.9,22.6,22.4,,15.7,15.6,16.3,14.2
4362628,Ja'Marr Chase,CIN,WR,7,0,0,265.3,11.2,97.5,ACTIVE,9.1,8.1,26.1,14.3,52.2,14.0,,25.2,8.1,23.4,9.2,12.1,15.4,17.0,15.4,,15.7
4038941,Justin Herbert,LAC,QB,5,0,0,262.1,55.9,97.2,QUESTIONABLE,20.9,22.2,29.3,23.4,,19.1,10.9,24.0,7.1,28.4,25.7,13.4,18.6,19.1,,,
4426515,Puka Nacua,LAR,WR,10,0,0,254.9,44.0,96.8,ACTIVE,21.9,30.1,12.2,31.3,20.1,6.6,23.4,7.3,6.2,,18.7,6.7,12.7,13.6,14.0,14.0,16.1
2576414,Raheem Mostert,MIA,RB,10,0,0,253.5,83.9,99.4,ACTIVE,13.0,25.7,45.2,5.5,15.8,34.2,6.1,10.6,14.5,,10.3,21.4,11.3,10.5,14.1,15.4,
3052587,Baker Mayfield,TB,QB,5,0,0,252.9,166.1,86.1,ACTIVE,16.0,18.4,10.0,22.9,,6.8,16.2,21.4,19.0,18.3,10.3,13.4,16.3,14.6,15.6,16.9,16.8
4426875,Sam Howell,SEA,QB,5,0,0,252.5,166.2,94.4,ACTIVE,15.2,21.3,0.6,19.6,,18.3,9.5,31.0,17.7,24.2,17.7,17.3,16.5,,16.0,13.3,14.4
3054850,Alvin Kamara,NO,RB,11,0,0,250.3,21.3,96.7,QUESTIONABLE,,,,21.4,18.7,17.4,29.3,27.0,11.0,18.5,,15.9,17.3,19.9,17.8,17.6,18.4
4430737,Kyren Williams,LAR,RB,10,0,0,248.3,109.2,91.7,QUESTIONABLE,17.4,28.0,8.5,27.7,7.7,21.8,,,,,,38.4,16.6,18.4,22.8,20.8,20.2
4360310,Trevor Lawrence,JAX,QB,9,0,0,247.5,128.4,87.0,ACTIVE,17.7,9.2,14.4,16.5,15.7,14.7,18.1,14.7,,2.1,32.2,24.6,17.7,16.4,16.1,17.5,
15847,Travis Kelce,KC,TE,10,0,0,245.4,10.9,99.4,ACTIVE,,12.6,19.9,12.0,22.7,21.4,35.9,11.8,4.4,,15.4,15.1,15.8,14.9,14.5,14.5,14.5
4697815,Rachaad White,TB,RB,5,0,0,244.1,95.3,97.2,ACTIVE,6.9,21.3,7.2,10.8,,6.8,15.9,17.9,27.9,17.8,17.8,13.0,15.6,15.0,16.1,17.0,17.1
14881,Russell Wilson,PIT,QB,6,0,0,243.6,156.1,88.0,ACTIVE,15.2,25.9,14.2,22.2,18.7,,13.9,17.6,,18.7,14.5,16.8,16.9,16.6,17.1,15.4,
4035687,Michael Pittman Jr.,IND,WR,11,0,0,241.7,124.0,95.8,ACTIVE,23.7,13.6,16.7,4.5,10.2,19.9,16.3,18.0,14.4,16.4,,20.7,16.4,18.0,16.2,,16.7
4360438,Brandon Aiyuk,SF,WR,9,0,0,240.2,57.8,94.7,ACTIVE,32.9,7.3,,20.8,9.8,11.6,10.7,15.9,,14.5,26.6,13.0,15.5,14.8,16.1,15.2,15.5
16800,Davante Adams,LV,WR,13,0,0,239.8,27.2,96.1,ACTIVE,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,,15.8,16.4,16.8,16.4
16460,Adam Thielen,CAR,WR,7,0,0,239.8,43.2,96.5,ACTIVE,3.2,20.4,31.5,15.2,27.7,28.5,,15.2,7.9,10.2,15.4,1.2,14.5,13.1,11.1,12.6,12.1
4430807,Bijan Robinson,ATL,RB,11,0,0,236.0,28.1,95.6,ACTIVE,20.3,21.2,10.0,18.7,11.8,13.0,0.3,12.2,5.9,17.6,,27.3,15.2,16.8,16.4,14.6,14.7
3916148,Tony Pollard,TEN,RB,7,0,0,233.8,8.7,94.4,ACTIVE,22.2,19.9,15.1,9.0,8.4,17.0,,6.5,9.3,5.5,18.0,22.3,17.3,17.1,16.2,15.2,14.8
4429795,Jahmyr Gibbs,DET,RB,9,0,0,231.5,83.1,95.0,ACTIVE,8.0,12.6,9.2,9.1,,,27.6,29.9,,26.2,21.5,11.3,16.3,14.2,15.8,14.0,15.9
4427366,Breece Hall,NYJ,RB,7,0,0,228.9,57.1,92.2,ACTIVE,15.7,0.9,3.7,9.9,28.4,20.3,,21.3,10.0,10.5,18.3,11.9,16.3,14.3,15.5,16.0,15.8
4036133,T.J. Hockenson,MIN,TE,13,0,0,226.7,32.3,100.0,QUESTIONABLE,11.5,25.6,13.8,4.4,10.1,11.0,19.6,20.8,13.9,30.4,9.5,16.0,,11.4,14.5,14.2,
