week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.4,33.2,38.3,9.2,10.0,97.7,34.0
2,28.2,27.1,28.0,5.4,3.0,73.2,10.0
3,13.6,16.0,10.1,20.7,2.0,99.1,14.0
4,0.0,49.5,45.5,9.0,7.0,137.1,31.0
5,12.4,19.8,31.0,12.2,1.0,94.0,19.0
6,12.0,20.6,21.1,17.6,8.0,123.0,13.0
7,5.3,27.2,14.6,6.3,12.0,103.0,22.0
8,23.3,13.9,27.2,15.7,10.0,106.3,27.0
9,9.6,27.2,24.0,8.1,6.0,91.0,24.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16.2,27.5,36.3,8.5,8.0,86.1,19.0
12,0.0,10.2,18.5,20.2,5.0,113.7,10.0
13,25.2,24.5,53.5,22.8,3.0,116.8,17.0
14,22.0,38.7,45.6,10.4,11.0,84.7,34.0
15,11.2,15.5,28.9,6.0,9.0,118.1,13.0
16,4.9,13.3,10.1,10.0,0.0,122.0,0.0
17,0.0,27.2,55.2,11.8,9.0,84.3,27.0
