week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.2,6.0,23.1,1.4,13.0,73.1,24.0
2,11.4,44.0,14.7,2.0,6.0,82.4,24.0
3,25.4,22.6,22.4,5.7,0.0,64.4,30.0
4,11.8,15.1,17.6,4.8,9.0,83.7,12.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,25.5,13.4,34.9,12.5,8.0,50.6,20.0
7,21.0,28.3,56.9,9.7,10.0,63.8,34.0
8,15.7,35.5,24.1,24.6,12.0,64.8,52.0
9,15.7,25.2,36.4,15.5,6.0,75.8,17.0
10,19.8,26.2,31.1,8.0,9.0,73.6,27.0
11,0.0,18.2,31.5,9.7,0.0,61.9,23.0
12,15.7,9.5,36.3,15.6,10.0,123.7,27.0
13,27.6,36.5,40.3,13.8,4.0,61.4,42.0
14,0.0,24.2,20.1,3.1,4.0,77.2,10.0
15,16.8,30.7,39.7,13.6,7.0,93.8,37.0
16,20.2,44.5,23.6,2.5,7.0,77.4,38.0
17,0.0,14.9,38.1,1.7,10.0,55.2,20.0
