week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
1,PHI,DAL,78,12,0.0,24,20,False,False,USA,Philadelphia,PA,2025-09-05T00:20Z
1,LAC,KC,60,21,0.0,27,21,False,True,Brazil,Sao Paulo,,2025-09-06T00:00Z
1,ATL,TB,,,,20,23,True,False,USA,Atlanta,GA,2025-09-07T17:00Z
1,CLE,CIN,61,13,0.0,16,17,False,False,USA,Cleveland,OH,2025-09-07T17:00Z
1,IND,MIA,,,,33,8,True,False,USA,Indianapolis,IN,2025-09-07T17:00Z
1,NE,LV,62,16,0.07,13,20,False,False,USA,Foxborough,MA,2025-09-07T17:00Z
1,NO,ARI,,,,13,20,True,False,USA,New Orleans,LA,2025-09-07T17:00Z
1,NYJ,PIT,66,10,0.02,32,34,False,False,USA,East Rutherford,NJ,2025-09-07T17:00Z
1,WSH,NYG,69,12,0.0,21,6,False,False,USA,Landover,MD,2025-09-07T17:00Z
1,JAX,CAR,80,9,0.01,26,10,False,False,USA,Jacksonville,FL,2025-09-07T17:00Z
1,DEN,TEN,82,14,0.0,20,12,False,False,USA,Denver,CO,2025-09-07T20:05Z
1,SEA,SF,68,16,0.0,13,17,False,False,USA,Seattle,WA,2025-09-07T20:05Z
1,GB,DET,63,17,0.0,27,13,False,False,USA,Green Bay,WI,2025-09-07T20:25Z
1,LAR,HOU,89,18,0.0,14,9,False,False,USA,Inglewood,CA,2025-09-07T20:25Z
1,BUF,BAL,60,2,0.0,41,40,False,False,USA,Orchard Park,NY,2025-09-08T00:20Z
1,CHI,MIN,69,11,0.0,24,27,False,False,USA,Chicago,IL,2025-09-09T00:15Z
2,GB,WSH,69,19,0.0,27,18,False,False,USA,Green Bay,WI,2025-09-12T00:15Z
2,CIN,JAX,83,12,0.0,31,27,False,False,USA,Cincinnati,OH,2025-09-14T17:00Z
2,DAL,NYG,,,,40,37,True,False,USA,Arlington,TX,2025-09-14T17:00Z
2,DET,CHI,,,,52,21,True,False,USA,Detroit,MI,2025-09-14T17:00Z
2,TEN,LAR,88,10,0.0,19,33,False,False,USA,Nashville,TN,2025-09-14T17:00Z
2,MIA,NE,87,9,0.0,27,33,False,False,USA,Miami Gardens,FL,2025-09-14T17:00Z
2,NO,SF,,,,21,26,True,False,USA,New Orleans,LA,2025-09-14T17:00Z
2,NYJ,BUF,83,14,0.0,10,30,False,False,USA,East Rutherford,NJ,2025-09-14T17:00Z
2,PIT,SEA,80,16,0.0,17,31,False,False,USA,Pittsburgh,PA,2025-09-14T17:00Z
2,BAL,CLE,80,12,0.0,41,17,False,False,USA,Baltimore,MD,2025-09-14T17:00Z
2,IND,DEN,,,,29,28,True,False,USA,Indianapolis,IN,2025-09-14T20:05Z
2,ARI,CAR,,,,27,22,True,False,USA,Glendale,AZ,2025-09-14T20:05Z
2,KC,PHI,93,26,0.0,17,20,False,False,USA,Kansas City,MO,2025-09-14T20:25Z
2,MIN,ATL,,,,6,22,True,False,USA,Minneapolis,MN,2025-09-15T00:20Z
2,HOU,TB,,,,19,20,True,False,USA,Houston,TX,2025-09-15T23:00Z
2,LV,LAC,,,,9,20,True,False,USA,Las Vegas,NV,2025-09-16T02:00Z
3,BUF,MIA,64,15,0.0,31,21,False,False,USA,Orchard Park,NY,2025-09-19T00:15Z
