week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.5,17.0,14.7,15.6,0.0,95.7,13.0
2,21.3,22.8,48.4,19.3,4.0,102.3,22.0
3,13.3,33.3,29.5,4.1,12.0,90.9,16.0
4,16.1,24.4,33.5,18.6,13.0,103.0,23.0
5,8.0,16.5,25.6,16.2,13.0,101.1,22.0
6,22.5,26.3,27.0,20.9,16.0,120.6,31.0
7,13.4,21.3,22.4,18.4,12.0,111.5,27.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15.4,7.6,41.9,10.4,4.0,120.4,17.0
10,4.9,31.4,33.0,1.8,15.0,104.0,44.0
11,19.3,42.1,12.7,24.7,14.0,138.9,41.0
12,17.1,22.5,33.1,16.5,13.0,120.7,27.0
13,14.5,22.0,22.0,5.0,10.0,106.6,20.0
14,23.2,47.9,47.2,16.3,9.0,90.0,45.0
15,23.4,31.0,27.5,26.8,17.0,98.3,40.0
16,17.6,38.1,10.1,20.0,10.0,87.6,26.0
17,21.6,40.3,44.5,13.6,9.0,76.9,37.0
