week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,22.6,17.3,40.6,0.0,5.0,86.5,23.0
2,2.8,8.1,17.2,2.2,8.0,83.4,6.0
3,11.6,20.4,15.4,8.6,15.0,59.2,30.0
4,16.2,14.9,34.9,6.1,0.0,114.2,27.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15.4,21.2,27.2,8.9,2.0,109.0,14.0
7,5.2,44.5,13.0,2.1,11.0,71.9,20.0
8,24.2,38.5,38.5,0.0,10.0,59.6,34.0
9,16.4,24.1,35.7,12.1,6.0,102.1,24.0
10,15.5,51.8,25.8,17.9,5.0,84.8,31.0
11,31.8,19.0,66.2,17.4,10.0,92.7,30.0
12,7.9,14.6,31.4,14.0,0.0,106.0,10.0
13,21.3,15.6,29.9,7.3,10.0,103.5,27.0
14,22.3,15.6,58.2,5.7,14.0,52.7,37.0
15,19.2,18.4,49.4,7.6,11.0,139.3,28.0
16,10.6,12.7,19.5,22.8,15.0,99.8,19.0
17,12.8,18.3,29.4,24.7,6.0,94.5,24.0
