week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,2.5,8.1,12.7,7.5,15.0,95.4,12.0
2,22.8,29.5,29.9,13.7,20.0,98.3,29.0
3,14.6,27.7,42.5,9.6,12.0,80.2,23.0
4,6.7,10.5,19.1,1.8,3.0,137.2,3.0
5,19.5,20.4,32.1,14.7,5.0,104.4,17.0
6,4.9,8.6,9.8,1.2,12.0,94.7,11.0
7,28.4,29.2,17.9,33.4,0.0,129.3,32.0
8,12.9,21.3,44.6,6.4,6.0,136.6,24.0
9,10.5,7.3,28.5,14.9,17.0,82.2,15.0
10,4.4,17.8,16.3,8.9,0.0,70.4,7.0
11,13.3,16.0,30.4,28.1,7.0,102.2,19.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,23.3,17.1,41.2,25.9,8.0,112.6,26.0
14,17.5,7.0,32.0,18.3,6.0,112.9,17.0
15,13.9,26.1,32.1,14.0,16.0,128.3,26.0
16,31.2,17.6,41.0,16.4,11.0,112.4,34.0
17,7.7,16.5,6.4,9.8,10.0,93.3,13.0
