week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,13.6,16.5,38.7,8.3,0.0,82.5,14.0
2,19.9,32.7,30.9,5.5,1.0,93.5,20.0
3,7.8,21.6,32.6,17.0,4.0,105.7,17.0
4,4.5,10.6,13.0,3.6,0.0,115.7,0.0
5,1.2,13.8,18.8,8.4,3.0,166.9,10.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.6,26.1,37.8,8.1,9.0,100.6,27.0
8,18.0,11.2,22.1,21.5,1.0,129.2,15.0
9,18.5,26.3,22.9,4.5,3.0,98.2,18.0
10,9.8,19.3,30.3,3.1,13.0,141.0,29.0
11,13.1,14.0,22.4,15.5,10.0,96.6,13.0
12,8.1,37.3,24.3,9.3,8.0,100.9,19.0
13,16.1,15.1,26.5,13.0,0.0,107.2,16.0
14,6.3,12.7,25.8,4.2,3.0,102.9,10.0
15,20.6,16.6,17.3,40.8,2.0,140.9,20.0
16,14.0,33.7,18.6,16.3,3.0,95.9,21.0
17,15.1,20.1,24.1,16.1,3.0,104.0,16.0
