week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.2,21.9,18.9,5.9,5.0,121.4,10.0
2,33.5,8.5,61.6,12.3,7.0,131.6,31.0
3,10.4,11.6,35.4,8.9,3.0,96.0,10.0
4,17.7,34.4,20.7,16.8,7.0,111.5,21.0
5,26.7,36.0,35.6,19.1,4.0,96.0,28.0
6,20.0,9.4,49.0,11.7,10.0,97.9,20.0
7,27.4,13.8,40.4,24.1,0.0,83.8,35.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26.3,22.3,6.8,50.8,5.0,110.2,29.0
10,27.7,22.3,46.6,18.3,0.0,83.5,36.0
11,4.9,4.0,15.8,6.1,8.0,103.6,6.0
12,18.7,22.0,40.5,18.5,5.0,108.2,24.0
13,6.3,13.7,11.3,15.2,3.0,103.4,3.0
14,11.1,14.3,37.5,3.7,7.0,116.4,19.0
15,8.9,20.2,35.6,3.3,11.0,155.8,20.0
16,15.2,27.0,48.2,9.0,9.0,119.2,20.0
17,7.8,18.8,9.0,22.9,5.0,102.9,17.0
