week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.7,8.9,22.6,12.0,14.0,89.1,9.0
2,9.8,9.2,30.1,10.4,17.0,118.6,19.0
3,29.0,9.5,44.6,10.3,3.0,87.4,33.0
4,10.4,15.6,24.3,18.3,19.0,125.7,20.0
5,22.2,34.1,31.2,18.9,17.0,118.3,26.0
6,6.6,23.4,14.4,9.2,3.0,79.7,3.0
7,17.6,10.1,50.6,5.5,0.0,114.7,7.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.2,2.9,8.7,15.1,0.0,136.4,10.0
10,23.1,31.9,29.2,32.9,2.0,138.8,26.0
11,4.3,27.4,30.8,17.1,14.0,77.1,19.0
12,6.6,10.8,25.6,6.1,1.0,133.2,7.0
13,22.5,31.7,29.8,6.2,7.0,98.2,31.0
14,19.0,11.5,43.7,11.8,4.0,149.6,17.0
15,25.5,19.0,70.8,0.0,10.0,139.4,34.0
16,19.5,42.8,39.6,17.0,2.0,158.4,38.0
17,9.1,42.2,13.6,3.6,12.0,99.2,27.0
