week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,18.3,22.9,23.1,15.4,12.0,67.8,20.0
2,21.8,27.1,35.3,16.6,10.0,79.3,26.0
3,17.5,26.1,54.3,5.5,17.0,60.8,44.0
4,24.9,22.8,37.0,12.3,7.0,57.1,31.0
5,15.6,17.8,14.0,30.5,0.0,71.4,14.0
6,27.2,6.4,53.0,7.2,5.0,54.2,25.0
7,4.7,39.3,19.3,8.0,0.0,61.7,26.0
8,4.1,18.3,17.6,8.0,17.0,54.1,23.0
9,26.8,23.2,49.0,27.4,0.0,35.9,34.0
10,1.6,17.8,16.1,8.2,0.0,104.7,7.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,14.5,20.6,30.8,10.1,15.0,78.9,24.0
13,4.7,22.0,16.6,11.1,14.0,98.6,21.0
14,11.1,31.5,15.5,4.9,9.0,70.2,20.0
15,15.4,17.2,26.1,5.8,6.0,102.2,17.0
16,3.7,18.3,16.9,11.8,6.0,145.8,6.0
17,17.0,13.0,37.4,17.5,18.0,127.9,26.0
