week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,20.1,25.4,38.5,11.6,3.0,55.9,21.0
2,22.1,34.9,56.9,18.1,23.0,157.7,40.0
3,13.2,18.5,36.9,11.3,12.0,60.4,22.0
4,12.5,27.5,34.6,4.9,5.0,70.8,18.0
5,16.1,15.4,16.2,5.7,0.0,77.9,26.0
6,20.6,10.7,25.6,26.0,6.0,94.0,17.0
7,40.0,20.1,47.0,13.2,5.0,108.9,33.0
8,25.4,44.0,25.4,17.8,8.0,72.8,38.0
9,15.8,47.8,25.5,8.8,12.0,93.9,34.0
10,25.1,23.6,30.2,11.0,6.0,89.1,24.0
11,23.5,18.7,41.2,9.6,1.0,79.3,27.0
12,17.2,62.1,35.6,5.9,12.0,115.1,34.0
13,20.5,22.6,41.0,11.3,14.0,69.9,33.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14.7,16.8,33.0,7.5,13.0,98.0,29.0
16,10.1,15.9,20.7,5.1,11.0,46.4,16.0
17,7.8,9.5,26.0,17.9,5.0,113.5,10.0
