week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.1,9.3,23.6,3.9,8.0,106.6,6.0
2,20.9,20.1,24.1,29.6,10.0,81.1,27.0
3,26.1,9.8,55.5,9.8,4.0,106.1,24.0
4,18.7,39.2,32.3,18.0,0.0,72.1,34.0
5,17.5,18.4,32.6,7.4,6.0,93.7,10.0
6,19.9,31.5,27.3,4.1,0.0,103.9,25.0
7,23.3,24.5,39.5,21.9,18.0,92.3,44.0
8,23.0,23.8,40.7,26.2,4.0,65.8,28.0
9,27.2,14.6,67.6,22.4,9.0,61.1,38.0
10,24.8,48.7,52.7,10.3,13.0,81.1,44.0
11,6.8,32.4,15.4,6.2,11.0,75.5,16.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16.4,32.4,32.2,21.6,9.0,115.5,27.0
14,20.4,21.8,21.3,27.5,8.0,35.9,31.0
15,22.1,27.1,27.1,16.7,0.0,93.0,21.0
16,19.4,30.9,39.0,12.2,1.0,58.6,29.0
17,22.7,27.1,44.1,15.2,16.0,81.5,30.0
