id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4374302,Amon-Ra St. Brown,DET,WR,8,237.98,ACTIVE,0,0,10.573511293634496,5.1929411764705815,4.3,18.9,18.5,17.78,0.0,11.7,21.2,7.7,15.1,16.5,33.2,9.2,9.8,7.8,30.3,16.0,0.0
4262921,Justin Jefferson,MIN,WR,6,245.38,ACTIVE,0,0,9.00841889117043,3.7952941176470656,13.9,21.3,17.1,17.5,10.2,0.0,17.9,15.5,18.08,7.3,11.1,3.7,13.4,28.7,18.3,31.4,0.0
4362628,Ja'Marr Chase,CIN,WR,10,311.7,ACTIVE,0,0,10.958726899383985,9.851764705882346,10.7,5.5,26.8,17.5,37.8,9.7,15.1,15.9,7.8,49.9,23.0,0.0,17.6,39.6,15.4,19.4,0.0
4430807,Bijan Robinson,ATL,RB,5,263.6,ACTIVE,0,0,17.317043121149897,6.617021276595742,13.6,15.2,13.2,9.4,9.2,24.0,24.8,20.1,19.0,27.9,8.3,0.0,22.5,19.1,14.0,23.3,0.0
4429795,Jahmyr Gibbs,DET,RB,8,270.6,ACTIVE,0,0,23.270225872689934,15.510638297872331,15.4,14.1,16.3,19.8,0.0,10.6,30.0,19.8,14.1,13.3,18.8,23.4,9.4,16.3,25.9,23.4,0.0
3916387,Lamar Jackson,BAL,QB,7,404.47,ACTIVE,0,0,18.521068859198355,3.1007957559681807,25.12,16.38,25.98,23.64,32.29,21.42,34.94,24.16,22.6,32.9,14.88,22.58,22.08,0.0,37.6,18.48,29.42
3043078,Derrick Henry,BAL,RB,7,293.8,ACTIVE,0,0,12.737371663244351,8.02127659574468,10.6,16.1,29.9,32.4,16.1,25.2,24.7,14.2,23.8,13.6,10.5,14.0,12.6,0.0,6.7,19.9,23.5
4242335,Jonathan Taylor,IND,RB,11,182.1,ACTIVE,0,0,14.419507186858317,1.9361702127659541,10.8,12.5,26.0,18.3,0.0,0.0,0.0,18.2,7.4,14.7,6.5,1.5,16.8,0.0,9.6,39.8,0.0
4047365,Josh Jacobs,GB,RB,5,252.6,ACTIVE,0,0,62.2182751540041,29.202127659574465,9.4,13.1,5.3,9.8,15.9,10.5,17.7,25.0,11.8,0.0,21.4,28.6,19.7,24.6,21.1,18.7,0.0
4429160,De'Von Achane,MIA,RB,12,237.5,ACTIVE,0,0,23.18151950718686,7.553191489361696,19.5,26.0,7.3,4.4,2.2,0.0,9.5,23.7,28.1,7.7,18.5,19.1,17.0,15.9,10.6,28.0,0.0
