id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4374302,Amon-Ra St. Brown,DET,WR,8,219.69,ACTIVE,0,0,10.573511293634496,5.1929411764705815,14.69,14.74,14.27,13.89,0.0,14.27,13.94,14.5,13.54,13.84,12.99,13.75,12.99,12.93,13.26,13.12,12.97
4262921,Justin Jefferson,MIN,WR,6,230.54,ACTIVE,0,0,9.00841889117043,3.7952941176470656,13.99,14.22,13.72,14.18,14.31,0.0,15.38,14.45,15.72,15.76,14.09,13.55,13.69,14.38,14.25,14.01,14.84
4362628,Ja'Marr Chase,CIN,WR,10,233.02,ACTIVE,0,0,10.958726899383985,9.851764705882346,11.77,14.2,13.99,14.51,12.49,13.93,13.44,14.25,15.23,14.81,14.52,0.0,15.25,15.2,16.2,16.74,16.49
4430807,Bijan Robinson,ATL,RB,5,247.46,ACTIVE,0,0,17.317043121149897,6.617021276595742,14.5,15.97,16.26,15.85,13.73,13.93,14.42,14.65,15.53,16.67,14.72,0.0,16.12,14.71,17.44,16.92,16.04
4429795,Jahmyr Gibbs,DET,RB,8,232.6,ACTIVE,0,0,23.270225872689934,15.510638297872331,14.0,14.0,14.18,13.22,0.0,13.53,12.83,13.97,13.72,13.4,14.33,14.59,14.61,13.34,14.59,20.0,18.29
3916387,Lamar Jackson,BAL,QB,7,325.92,ACTIVE,0,0,18.521068859198355,3.1007957559681807,19.24,20.53,19.06,19.06,20.04,20.88,21.21,20.17,21.88,21.02,20.55,20.83,20.45,0.0,21.22,19.99,19.79
3043078,Derrick Henry,BAL,RB,7,246.01,ACTIVE,0,0,12.737371663244351,8.02127659574468,12.4,13.65,12.15,12.56,14.96,15.46,15.9,15.62,15.7,17.46,16.55,16.66,17.01,0.0,17.58,16.01,16.34
4242335,Jonathan Taylor,IND,RB,11,179.68,ACTIVE,0,0,14.419507186858317,1.9361702127659541,13.47,12.31,14.14,13.79,0.0,0.0,0.0,13.74,13.52,15.44,13.52,13.7,13.46,0.0,13.23,13.69,15.67
4047365,Josh Jacobs,GB,RB,5,217.51,ACTIVE,0,0,62.2182751540041,29.202127659574465,13.82,13.6,12.43,12.85,12.19,11.96,12.0,13.14,12.54,0.0,13.08,13.41,14.64,13.75,14.89,17.18,16.03
4429160,De'Von Achane,MIA,RB,12,230.36,ACTIVE,0,0,23.18151950718686,7.553191489361696,12.01,14.5,16.22,13.49,12.39,0.0,11.88,12.81,13.28,15.47,15.19,16.06,14.24,16.22,15.22,15.23,16.15
