week,team,opponent
1,ARI,BUF
1,ATL,PIT
1,BAL,KC
1,BUF,ARI
1,CAR,NO
1,CHI,TEN
1,CIN,NE
1,CLE,DAL
1,DAL,CLE
1,DEN,SEA
1,DET,LAR
1,GB,PHI
1,HOU,IND
1,IND,HOU
1,JAX,MIA
1,KC,BAL
1,LAC,LV
1,LAR,DET
1,LV,LAC
1,MIA,JAX
1,MIN,NYG
1,NE,CIN
1,NO,CAR
1,NYG,MIN
1,NYJ,SF
1,PHI,GB
1,PIT,ATL
1,SEA,DEN
1,SF,NYJ
1,TB,WSH
1,TEN,CHI
1,WSH,TB
2,ARI,LAR
2,ATL,PHI
2,BAL,LV
2,BUF,MIA
2,CAR,LAC
2,CHI,HOU
2,CIN,KC
2,CLE,JAX
2,DAL,NO
2,DEN,PIT
2,DET,TB
2,GB,IND
2,HOU,CHI
2,IND,GB
2,JAX,CLE
2,KC,CIN
2,LAC,CAR
2,LAR,ARI
2,LV,BAL
2,MIA,BUF
2,MIN,SF
2,NE,SEA
2,NO,DAL
2,NYG,WSH
2,NYJ,TEN
2,PHI,ATL
2,PIT,DEN
2,SEA,NE
2,SF,MIN
2,TB,DET
2,TEN,NYJ
2,WSH,NYG
3,ARI,DET
3,ATL,KC
3,BAL,DAL
3,BUF,JAX
3,CAR,LV
3,CHI,IND
3,CIN,WSH
3,CLE,NYG
3,DAL,BAL
3,DEN,TB
3,DET,ARI
3,GB,TEN
3,HOU,MIN
3,IND,CHI
3,JAX,BUF
3,KC,ATL
3,LAC,PIT
3,LAR,SF
3,LV,CAR
3,MIA,SEA
3,MIN,HOU
3,NE,NYJ
3,NO,PHI
3,NYG,CLE
3,NYJ,NE
3,PHI,NO
3,PIT,LAC
3,SEA,MIA
3,SF,LAR
3,TB,DEN
3,TEN,GB
3,WSH,CIN
4,ARI,WSH
4,ATL,NO
4,BAL,BUF
4,BUF,BAL
4,CAR,CIN
4,CHI,LAR
4,CIN,CAR
4,CLE,LV
4,DAL,NYG
4,DEN,NYJ
4,DET,SEA
4,GB,MIN
4,HOU,JAX
4,IND,PIT
4,JAX,HOU
4,KC,LAC
4,LAC,KC
4,LAR,CHI
4,LV,CLE
4,MIA,TEN
4,MIN,GB
4,NE,SF
4,NO,ATL
4,NYG,DAL
4,NYJ,DEN
4,PHI,TB
4,PIT,IND
4,SEA,DET
4,SF,NE
4,TB,PHI
4,TEN,MIA
4,WSH,ARI
5,ARI,SF
5,ATL,TB
5,BAL,CIN
5,BUF,HOU
5,CAR,CHI
5,CHI,CAR
5,CIN,BAL
5,CLE,WSH
5,DAL,PIT
5,DEN,LV
5,GB,LAR
5,HOU,BUF
5,IND,JAX
5,JAX,IND
5,KC,NO
5,LAR,GB
5,LV,DEN
5,MIA,NE
5,MIN,NYJ
5,NE,MIA
5,NO,KC
5,NYG,SEA
5,NYJ,MIN
5,PIT,DAL
5,SEA,NYG
5,SF,ARI
5,TB,ATL
5,WSH,CLE
6,ARI,GB
6,ATL,CAR
6,BAL,WSH
6,BUF,NYJ
6,CAR,ATL
6,CHI,JAX
6,CIN,NYG
6,CLE,PHI
6,DAL,DET
6,DEN,LAC
6,DET,DAL
6,GB,ARI
6,HOU,NE
6,IND,TEN
6,JAX,CHI
6,LAC,DEN
6,LV,PIT
6,NE,HOU
6,NO,TB
6,NYG,CIN
6,NYJ,BUF
6,PHI,CLE
6,PIT,LV
6,SEA,SF
6,SF,SEA
6,TB,NO
6,TEN,IND
6,WSH,BAL
7,ARI,LAC
7,ATL,SEA
7,BAL,TB
7,BUF,TEN
7,CAR,WSH
7,CIN,CLE
7,CLE,CIN
7,DEN,NO
7,DET,MIN
7,GB,HOU
7,HOU,GB
7,IND,MIA
7,JAX,NE
7,KC,SF
7,LAC,ARI
7,LAR,LV
7,LV,LAR
7,MIA,IND
7,MIN,DET
7,NE,JAX
7,NO,DEN
7,NYG,PHI
7,NYJ,PIT
7,PHI,NYG
7,PIT,NYJ
7,SEA,ATL
7,SF,KC
7,TB,BAL
7,TEN,BUF
7,WSH,CAR
8,ARI,MIA
8,ATL,TB
8,BAL,CLE
8,BUF,SEA
8,CAR,DEN
8,CHI,WSH
8,CIN,PHI
8,CLE,BAL
8,DAL,SF
8,DEN,CAR
8,DET,TEN
8,GB,JAX
8,HOU,IND
8,IND,HOU
8,JAX,GB
8,KC,LV
8,LAC,NO
8,LAR,MIN
8,LV,KC
8,MIA,ARI
8,MIN,LAR
8,NE,NYJ
8,NO,LAC
8,NYG,PIT
8,NYJ,NE
8,PHI,CIN
8,PIT,NYG
8,SEA,BUF
8,SF,DAL
8,TB,ATL
8,TEN,DET
8,WSH,CHI
9,ARI,CHI
9,ATL,DAL
9,BAL,DEN
9,BUF,MIA
9,CAR,NO
9,CHI,ARI
9,CIN,LV
9,CLE,LAC
9,DAL,ATL
9,DEN,BAL
9,DET,GB
9,GB,DET
9,HOU,NYJ
9,IND,MIN
9,JAX,PHI
9,KC,TB
9,LAC,CLE
9,LAR,SEA
9,LV,CIN
9,MIA,BUF
9,MIN,IND
9,NE,TEN
9,NO,CAR
9,NYG,WSH
9,NYJ,HOU
9,PHI,JAX
9,SEA,LAR
9,TB,KC
9,TEN,NE
9,WSH,NYG
10,ARI,NYJ
10,ATL,NO
10,BAL,CIN
10,BUF,IND
10,CAR,NYG
10,CHI,NE
10,CIN,BAL
10,DAL,PHI
10,DEN,KC
10,DET,HOU
10,HOU,DET
10,IND,BUF
10,JAX,MIN
10,KC,DEN
10,LAC,TEN
10,LAR,MIA
10,MIA,LAR
10,MIN,JAX
10,NE,CHI
10,NO,ATL
10,NYG,CAR
10,NYJ,ARI
10,PHI,DAL
10,PIT,WSH
10,SF,TB
10,TB,SF
10,TEN,LAC
10,WSH,PIT
11,ATL,DEN
11,BAL,PIT
11,BUF,KC
11,CHI,GB
11,CIN,LAC
11,CLE,NO
11,DAL,HOU
11,DEN,ATL
11,DET,JAX
11,GB,CHI
11,HOU,DAL
11,IND,NYJ
11,JAX,DET
11,KC,BUF
11,LAC,CIN
11,LAR,NE
11,LV,MIA
11,MIA,LV
11,MIN,TEN
11,NE,LAR
11,NO,CLE
11,NYJ,IND
11,PHI,WSH
11,PIT,BAL
11,SEA,SF
11,SF,SEA
11,TEN,MIN
11,WSH,PHI
12,ARI,SEA
12,BAL,LAC
12,CAR,KC
12,CHI,MIN
12,CLE,PIT
12,DAL,WSH
12,DEN,LV
12,DET,IND
12,GB,SF
12,HOU,TEN
12,IND,DET
12,KC,CAR
12,LAC,BAL
12,LAR,PHI
12,LV,DEN
12,MIA,NE
12,MIN,CHI
