week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,31.2,17.2,33.8,4.4,10.0,68.6,96.6
2,6.6,16.5,24.2,3.2,4.0,111.9,54.5
3,14.6,36.0,20.5,10.0,6.9,56.7,88.0
4,0.0,0.0,0.0,0.0,0.0,59.5,0.0
5,13.1,10.5,23.0,19.4,8.0,68.3,74.0
6,25.6,20.4,51.8,7.3,0.0,54.4,105.1
7,14.8,11.9,19.4,15.7,21.0,64.4,82.8
8,9.2,44.7,16.7,4.6,11.0,89.8,86.2
9,9.2,13.8,23.8,0.0,13.0,70.0,59.8
10,0.0,15.7,17.5,4.9,0.0,90.0,38.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,11.4,13.5,28.6,6.3,3.0,57.2,62.8
13,19.6,7.1,24.4,13.5,0.0,76.4,64.6
14,11.2,40.7,26.5,7.7,12.0,85.6,98.1
15,17.4,16.4,18.0,11.3,7.0,83.4,70.1
16,27.1,31.9,27.5,4.7,3.0,79.6,94.2
17,29.0,31.6,63.7,17.6,26.0,186.8,167.9
