week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.9,12.7,13.8,7.1,26.0,50.1,70.5
2,23.8,17.7,25.0,8.2,7.0,89.4,81.7
3,16.4,14.6,37.6,6.8,10.0,69.0,85.4
4,8.1,22.9,25.5,16.7,7.0,77.2,80.2
5,23.4,12.7,35.7,5.9,16.0,155.3,93.7
6,14.9,12.6,40.4,7.5,9.0,102.9,84.5
7,16.5,24.2,22.4,11.0,12.0,80.4,86.1
8,21.3,27.1,26.6,24.6,8.0,114.6,107.6
9,22.3,22.3,32.1,10.6,9.0,87.0,96.3
10,19.3,15.9,4.6,9.2,8.0,85.5,57.0
11,28.8,23.1,52.9,7.7,9.0,50.4,121.5
12,0.0,0.0,0.0,0.0,0.0,0.7,0.0
13,9.5,2.0,22.1,2.0,12.0,62.4,47.6
14,34.6,16.4,65.5,9.6,6.0,92.6,132.1
15,0.0,21.6,51.0,6.6,2.0,58.3,81.2
16,6.5,16.8,24.6,1.0,1.0,61.5,49.9
17,0.0,0.0,0.0,0.0,0.0,173.0,0.0
