week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.6,16.6,38.1,10.1,9.0,91.7,88.4
2,10.9,13.2,29.5,17.4,18.0,90.2,89.0
3,28.9,14.6,37.2,13.5,11.0,90.9,105.2
4,7.4,15.7,19.8,7.7,6.0,107.7,56.6
5,33.8,21.6,67.0,6.1,4.0,142.1,132.5
6,0.0,0.0,0.0,0.0,0.0,109.8,0.0
7,27.0,45.6,30.7,14.5,5.0,146.2,122.8
8,23.6,8.6,49.1,15.8,12.0,99.5,109.1
9,17.2,16.4,28.8,3.0,4.0,111.4,69.4
10,29.7,17.9,55.4,18.8,4.0,109.9,125.8
11,8.0,20.6,14.2,7.6,24.0,68.1,74.4
12,16.6,7.7,18.0,7.9,16.0,94.5,66.2
13,16.6,19.6,12.0,11.0,6.0,83.0,65.2
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.7,15.6,27.1,5.0,3.5,124.2,53.9
16,15.4,22.6,15.7,10.5,7.0,96.5,71.2
17,18.5,55.9,40.0,8.1,3.5,226.3,126.0
