week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.2,29.7,17.0,7.7,0.0,96.6,68.6
2,9.1,28.8,14.9,10.2,4.0,66.0,67.0
3,9.4,12.6,24.8,12.2,5.0,122.4,64.0
4,35.3,58.0,6.3,3.1,5.0,56.6,107.7
5,15.9,23.4,38.4,7.0,16.0,63.3,100.7
6,0.0,21.7,48.4,3.7,7.0,82.0,80.8
7,6.7,11.4,22.0,17.9,4.0,89.1,62.0
8,6.1,19.9,15.3,10.2,4.0,106.0,55.5
9,17.5,37.7,17.5,8.0,9.0,100.3,89.7
10,10.9,23.5,38.1,6.8,15.6,112.2,94.9
11,15.8,9.6,24.3,22.7,0.0,100.3,72.4
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.2,23.6,10.6,2.7,4.0,105.0,43.1
14,20.8,26.1,59.5,7.1,5.0,120.6,118.5
15,39.1,36.5,52.5,14.6,13.9,146.7,156.5
16,16.0,15.4,26.7,19.4,3.0,67.9,80.5
17,12.7,43.3,43.2,31.8,0.0,156.3,131.0
