week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,21.3,20.6,18.0,26.0,22.0,61.7,107.9
2,11.0,20.7,26.1,5.4,7.0,47.5,70.2
3,21.2,17.6,44.3,6.8,2.0,111.9,91.9
4,16.3,38.0,29.9,5.3,13.0,96.9,102.5
5,23.6,33.5,36.3,7.2,3.0,70.0,103.6
6,12.5,43.9,24.5,10.0,12.0,84.5,102.9
7,0.0,0.0,0.0,0.0,0.0,52.2,0.0
8,29.8,23.0,22.3,26.1,4.0,74.7,105.2
9,13.4,29.4,6.2,27.9,12.0,81.2,88.9
10,17.1,19.4,22.5,5.7,6.0,81.5,70.7
11,0.0,0.0,0.0,0.0,0.0,7.8,0.0
12,26.8,15.4,11.7,29.8,0.0,91.4,83.7
13,7.2,35.3,31.5,5.5,16.0,92.1,95.5
14,22.2,20.8,19.0,9.1,2.0,66.8,73.1
15,18.0,15.5,47.0,4.6,16.0,62.1,101.1
16,20.4,38.5,17.3,3.5,0.0,94.2,79.6
17,56.2,47.9,85.5,31.4,23.0,187.3,244.0
