week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.7,23.1,14.9,13.6,6.0,50.3,64.3
2,14.3,13.3,31.1,6.3,20.0,55.5,85.0
3,5.1,33.6,15.7,5.1,3.0,97.1,62.5
4,4.9,21.6,25.6,5.3,15.0,72.7,72.4
5,4.9,19.8,36.4,4.9,4.0,103.6,70.0
6,18.8,5.8,30.1,14.8,4.0,107.1,73.5
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,57.1,0.0
9,9.9,42.1,2.4,15.6,0.0,59.8,70.0
10,12.8,13.7,20.4,9.8,13.0,42.0,69.7
11,20.2,25.4,29.5,0.0,0.0,88.4,75.1
12,21.7,19.9,38.4,16.1,0.0,112.1,96.1
13,16.9,23.3,22.7,15.9,12.0,92.0,90.8
14,22.1,31.7,32.6,19.0,8.0,57.2,113.4
15,11.2,19.5,33.4,7.7,15.0,66.8,86.8
16,25.3,29.2,39.5,12.3,10.0,87.1,116.3
17,31.6,29.8,35.5,34.9,16.0,115.1,147.8
