week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.0,20.9,10.9,6.9,10.0,49.5,56.8
2,12.9,14.8,23.9,2.9,10.0,82.0,64.5
3,0.0,0.0,0.0,0.0,0.0,117.3,0.0
4,15.7,27.7,41.8,4.7,7.0,102.5,96.9
5,38.8,19.7,34.3,36.4,13.0,132.5,142.1
6,18.1,21.6,18.3,5.1,0.0,63.7,63.1
7,15.5,12.2,38.1,29.3,0.0,69.2,95.1
8,35.1,14.7,28.4,7.3,15.0,66.7,100.5
9,2.6,14.7,37.0,16.2,7.0,123.2,77.5
10,32.9,14.4,45.9,16.7,0.0,125.8,109.9
11,24.4,18.5,34.4,17.1,13.5,115.3,107.9
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,27.6,37.1,32.4,20.4,16.0,109.7,133.5
14,13.8,17.1,30.3,9.7,9.0,104.0,79.9
15,15.8,32.7,24.8,23.3,3.0,86.9,99.5
16,6.2,23.5,13.7,13.4,0.0,88.6,56.8
17,54.1,28.0,99.0,7.0,14.0,180.8,202.1
