week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,9.5,6.9,37.6,3.0,21.0,68.0,78.0
2,11.3,17.5,16.6,10.3,7.0,67.5,62.7
3,14.1,21.8,38.0,5.5,0.0,65.8,79.4
4,5.0,12.6,32.7,7.2,10.0,57.1,67.5
5,0.0,0.0,0.0,0.0,0.0,55.1,0.0
6,22.9,10.2,37.3,8.7,10.0,53.0,89.1
7,14.9,11.8,37.3,2.2,3.0,95.1,69.2
8,24.2,16.6,30.9,20.8,7.0,109.1,99.5
9,19.5,25.7,42.2,3.0,0.0,63.8,90.4
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,17.7,11.2,2.3,54.5,5.0,108.1,90.7
12,17.4,20.3,27.6,10.8,8.0,70.2,84.1
13,12.2,23.1,40.5,6.0,11.0,149.8,92.8
14,16.0,19.5,16.8,12.7,11.0,86.5,76.0
15,16.6,15.5,23.8,13.8,1.0,51.3,70.7
16,22.0,13.9,48.0,4.7,0.0,56.8,88.6
17,0.0,28.9,52.1,24.8,18.0,98.2,123.8
