week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,8.7,22.9,17.3,12.1,7.0,78.0,68.0
2,21.8,43.0,32.7,2.4,5.0,82.6,104.9
3,26.0,36.3,20.2,4.4,4.0,105.2,90.9
4,18.2,5.0,38.3,2.1,0.0,79.6,63.6
5,15.7,11.0,10.7,18.0,6.0,96.5,61.4
6,25.8,34.2,45.5,11.7,28.2,52.5,145.3
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24.0,21.6,20.3,21.8,0.0,69.2,87.7
9,15.7,28.3,38.4,1.6,3.0,96.3,87.0
10,30.0,17.6,27.6,9.5,10.0,31.3,94.7
11,10.9,46.7,23.9,8.3,10.0,80.4,99.8
12,0.0,0.0,0.0,0.0,0.0,90.1,0.0
13,14.8,15.8,18.0,7.9,10.0,73.4,66.5
14,22.6,21.3,49.0,11.1,0.0,79.9,104.0
15,13.5,8.3,35.9,2.5,2.0,101.1,62.1
16,21.3,25.7,41.4,3.4,7.0,90.9,98.8
17,45.8,32.6,66.8,21.2,18.0,122.8,184.4
