week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,17.8,30.5,12.3,3.6,10.0,50.3,74.3
2,9.3,16.3,8.9,14.4,9.0,47.3,57.9
3,8.5,17.5,19.6,7.5,1.0,84.5,54.1
4,0.0,7.9,24.7,5.7,10.0,46.6,48.3
5,9.4,21.7,17.5,22.7,5.0,81.8,76.3
6,12.7,30.4,23.5,6.1,12.0,71.7,84.7
7,11.8,11.6,27.4,8.1,5.5,82.9,64.4
8,13.6,16.1,39.5,3.5,2.0,105.2,74.7
9,22.8,37.9,34.6,5.1,11.0,69.4,111.4
10,16.5,18.5,4.0,20.3,10.0,68.9,69.3
11,4.7,11.7,23.6,1.4,9.0,121.5,50.4
12,10.6,18.3,31.8,7.9,15.0,102.0,83.6
13,33.0,21.2,66.9,21.7,7.0,92.8,149.8
14,0.0,0.0,0.0,0.0,0.0,1.4,0.0
15,13.9,12.1,17.3,6.2,8.0,70.4,57.5
16,22.2,12.3,33.9,8.0,10.0,99.2,86.4
17,48.0,11.7,88.3,32.8,0.0,202.1,180.8
