week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.7,15.7,49.3,6.7,9.0,85.8,95.4
2,15.8,6.5,31.0,1.5,10.0,91.1,64.8
3,14.8,6.0,30.3,5.6,0.0,88.0,56.7
4,21.6,42.5,26.9,15.6,3.0,125.9,109.6
5,0.0,0.0,0.0,0.0,0.0,11.0,0.0
6,3.3,8.0,26.6,2.6,12.0,145.3,52.5
7,16.3,20.1,39.2,3.8,15.0,108.0,94.4
8,19.5,16.4,38.3,7.4,2.0,125.6,83.6
9,6.7,27.8,28.2,5.6,0.0,64.2,68.3
10,7.8,22.9,25.5,8.8,13.0,89.1,78.0
11,4.2,5.1,13.4,8.7,8.0,166.0,39.4
12,13.0,3.0,24.2,0.0,14.3,89.4,54.5
13,26.1,13.3,46.5,4.1,2.0,90.8,92.0
14,14.5,25.6,18.3,12.3,0.0,113.2,70.7
15,41.3,50.5,29.4,12.5,13.0,156.5,146.7
16,20.5,9.2,44.4,7.9,5.0,116.3,87.1
17,59.1,34.3,86.4,24.2,9.0,228.1,213.0
